steam_appid,name,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,Free?,is_f2p,F2P?,Coming Soon?,coming_soon,peak_ccu,followers,early_access,Early Access?,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,sdk
508440,Totally Accurate Battle Simulator,76898,92.2667,81791,76898,-1,0.726608,01/04/2021,1999,1999,0,No,0,No,No,0,13608,304298,-1,Formerly Early Access,219,,2654,786,1676,2837,1499,43088,8202,Landfall,Landfall,Photon
823130,Totally Accurate Battlegrounds,68487,86.3466,68487,15235,-1,0.668344,05/06/2018,0,0,1,Yes,1,Yes,No,0,29438,77208,0,Never Had Early Access,1529,,93,115,822,1299,499,43088,8202,Landfall,Landfall,Photon
1106850,Totally Reliable Delivery Service Beta,3632,82.9351,3632,-1,-1,0.573354,24/06/2019,0,0,1,Yes,0,No,No,0,808,42881,0,Never Had Early Access,-1,,2699,-1,-1,-1,0,391,392,We're Five Games,tinyBuild,Photon
602320,Train Valley 2,1468,73.2699,1910,1468,-1,0.730276,15/04/2019,674,1499,0,No,0,No,No,0,430,13933,-1,Formerly Early Access,5079,,2983,13,27,85,999,"5,281,528,251,266","213,113,563","Sergey Dvoynikov, Timofey Shargorodskiy, Alexey Davydov","META Publishing, Flazm",Discord
494840,UBOAT,11742,73.2781,12466,11742,-1,0.730406,30/04/2019,2999,2999,0,No,0,No,No,0,5694,105534,1,Early Access,963,,10315,698,1011,1318,2999,10961,652,Deep Water Studio,PlayWay S.A.,Discord
386940,Ultimate Chicken Horse,20769,88.7757,26674,20769,-1,0.742756,04/03/2016,1499,1499,0,No,0,No,No,0,2705,95098,0,Never Had Early Access,325,79,1055,28,66,170,1499,9626,9626,Clever Endeavour Games,Clever Endeavour Games,Discord
468920,Ultimate Fishing Simulator,4286,83.9303,4821,4286,70,0.881828,30/08/2018,1999,1999,0,No,0,No,No,0,480,25804,-1,Formerly Early Access,1418,64,10098,41,106,183,1999,47249,265,Bit Golem,Ultimate Games S.A.,Photon
306660,Ultimate General: Gettysburg,2262,79.7557,2588,2262,84,0.544949,16/10/2014,1499,1499,0,No,0,No,No,0,910,20804,-1,Formerly Early Access,5313,,2626,55,123,281,999,2055,2055,Game-Labs,Game-Labs,Photon
1229490,ULTRAKILL,18910,92.3373,20574,18910,-1,0.752215,03/09/2020,1999,1999,0,No,0,No,No,0,2039,28742,1,Early Access,254,,8318,1318,2032,3166,1999,15918,5202,"Arsi ""Hakita"" Patala",New Blood Interactive,Discord
1290490,UNBEATABLE [white label],5900,86.939,5900,-1,-1,0.920095,07/05/2021,0,0,1,Yes,0,No,No,0,373,10733,-2,Early Access History Unknown,7704,,,-1,-1,-1,,44273,44273,D-CELL GAMES,D-CELL GAMES,Discord
656350,UnderMine,6674,81.4241,7132,6674,-1,0.848636,06/08/2020,1999,1999,0,No,0,No,No,0,3234,39891,-1,Formerly Early Access,1853,,8990,92,278,464,1499,13412,13412,Thorium,Thorium,Discord
1175140,Vecter,2701,74.5141,2701,2,-1,0.749545,14/10/2020,0,0,1,Yes,0,No,No,0,235,3019,-1,Formerly Early Access,16140,,,-1,-1,-1,0,26015,26015,Taranasus,Taranasus,Discord
242860,Verdun,26917,82.4566,35140,26917,70,0.862465,28/04/2015,1999,1999,0,No,0,No,No,0,4504,171013,-1,Formerly Early Access,1318,56.6667,705,408,786,1738,1349,"761,120,452",7611,"M2H, Blackmill Games",M2H,Photon
