,steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher
101,1735850,Mission 1985,mission_1985,https://cdn.cloudflare.steamstatic.com/steam/apps/1735850/header.jpg?t=1636236363,-1,-1,13,3,-1,-1,2021-10-04,499,499,0,0,0,2,39,-2,-1,,,-1,-1,-1,999.0,52434,52434,Consulog,Consulog
102,1735860,LyokoVR,lyokovr,https://cdn.cloudflare.steamstatic.com/steam/apps/1735860/header.jpg?t=1632553896,-1,-1,4,4,-1,-1,2021-09-25,499,499,0,0,0,1,20,-2,12552,,,-1,-1,-1,,51875,51875,WizOnce,WizOnce
103,1735880,DRAKE,drake,https://cdn.cloudflare.steamstatic.com/steam/apps/1735880/header.jpg?t=1635110097,-1,-1,-1,-1,-1,-1,1970-01-01,0,0,0,0,1,-1,89,-2,-1,,,-1,-1,-1,,52049,52049,Solarsuit,Solarsuit
104,1735930,SICK,sick,https://cdn.cloudflare.steamstatic.com/steam/apps/1735930/header.jpg?t=1647285392,-1,-1,16,7,-1,-1,2021-09-15,249,499,0,0,0,1,24,1,15935,,,-1,-1,-1,799.0,51391,51391,Michael Derek,Michael Derek
105,1735940,FlightChess,flightchess,https://cdn.cloudflare.steamstatic.com/steam/apps/1735940/header.jpg?t=1636485829,-1,-1,7,5,-1,-1,2021-11-08,99,99,0,0,0,-1,6,1,-1,,,-1,-1,-1,99.0,53953,53953,弁天工作室,弁天工作室
106,1735970,Maison Rouge,maison_rouge,https://cdn.cloudflare.steamstatic.com/steam/apps/1735970/header.jpg?t=1632259708,-1,-1,-1,-1,-1,-1,2022-08-02,0,0,0,0,1,-1,5,-2,-1,,,-1,-1,-1,,52433,52433,Messor Games Studio,Messor Games Studio
107,1736000,异星夺宝,,https://cdn.cloudflare.steamstatic.com/steam/apps/1736000/header.jpg?t=1635326816,-1,-1,5,4,-1,-1,2021-10-26,299,299,0,0,0,1,15,-2,-1,,,-1,-1,-1,299.0,53141,53141,Dimowgames,Dimowgames
108,1736010,双腕のソルダート The Soldat with Twin Arms,the_soldat_with_twin_arms,https://cdn.cloudflare.steamstatic.com/steam/apps/1736010/header.jpg?t=1637063786,-1,-1,-1,-1,-1,-1,2022-12-31,0,0,0,0,1,-1,156,-2,-1,,,-1,-1,-1,,50141,50141,ぼっち猫  BocchiNeko,ぼっち猫  BocchiNeko
109,1736090,Demolish & Build VR,demolish_build_vr,https://cdn.cloudflare.steamstatic.com/steam/apps/1736090/header.jpg?t=1634635391,-1,-1,11,7,-1,-1,2021-10-18,1999,1999,0,0,0,2,35,-2,6743,,,-1,-1,-1,1999.0,50147,"50147,50151",Ultimate VR,"Ultimate VR, Demolish Games"
110,1736120,Gambit!,gambit,https://cdn.cloudflare.steamstatic.com/steam/apps/1736120/header.jpg?t=1643625793,-1,-1,-1,-1,-1,-1,2022-06-30,0,0,0,0,1,-1,78,-2,-1,,,-1,-1,-1,,12785,12785,XREAL Games,XREAL Games
111,1736140,Drag Engineer,drag_engineer,https://cdn.cloudflare.steamstatic.com/steam/apps/1736140/header.jpg?t=1631877793,-1,-1,2,1,-1,-1,2021-09-17,99,99,0,0,0,-1,6,-2,-1,,,-1,-1,-1,399.0,51585,51585,Guang Pu,Guang Pu
112,1736210,Match On The Nile,match_on_the_nile,https://cdn.cloudflare.steamstatic.com/steam/apps/1736210/header.jpg?t=1630576760,-1,-1,-1,-1,-1,-1,2023-12-31,0,0,0,0,1,-1,12,-2,-1,,,-1,-1,-1,,44168,51245,TavroxGames,Looking for a publisher!
113,1736220,Might of Merchants,might_of_merchants,https://cdn.cloudflare.steamstatic.com/steam/apps/1736220/header.jpg?t=1633602392,-1,-1,-1,-1,-1,-1,1970-01-01,0,0,0,0,1,-1,435,-2,-1,,,-1,-1,-1,,51739,51739,Hannes Breuer,Hannes Breuer
